date,name,category,value,,
2017-01-01,"ATLANTA GA, US (ATL)",US,105902992.00,,
2017-01-01,"BEIJING, CN (PEK)",CN,95786442.00,,
2017-01-01,"DUBAI, AE (DXB)",AE,88242099.00,,
2017-01-01,"TOKYO, JP (HND)",JP,85408975.00,,
2017-01-01,"LOS ANGELES CA, US (LAX)",US,84557968.00,,
2017-01-01,"CHICAGO IL, US (ORD)",US,79828183.00,,
2017-01-01,"LONDON, GB (LHR)",GB,78014598.00,,
2017-01-01,"HONG KONG, HK (HKG)",HK,72664075.00,,
2017-01-01,"SHANGHAI, CN (PVG)",CN,70001237.00,,
2017-01-01,"PARIS, FR (CDG)",FR,69471442.00,,
2017-01-01,"AMSTERDAM, NL (AMS)",NL,68515425.00,,
2017-01-01,"DALLAS/FORT WORTH TX, US (DFW)",US,67092194.00,,
2017-01-01,"GUANGZHOU, CN (CAN)",CN,65887473.00,,
2017-01-01,"FRANKFURT, DE (FRA)",DE,64500386.00,,
2017-01-01,"ISTANBUL, TR (IST)",TR,64119374.00,,
2017-01-01,"NEW DELHI, IN (DEL)",IN,63451503.00,,
2017-01-01,"JAKARTA, ID (CGK)",ID,63015620.00,,
2017-01-01,"SINGAPORE, SG (SIN)",SG,62220000.00,,
2017-01-01,"INCHEON, KR (ICN)",KR,62157834.00,,
2017-01-01,"DENVER CO, US (DEN)",US,61379396.00,,
2016-01-01,"ATLANTA GA, US (ATL)",US,104171935.00,,
2016-01-01,"BEIJING, CN (PEK)",CN,94393454.00,,
2016-01-01,"DUBAI, AE (DXB)",AE,83654250.00,,
2016-01-01,"LOS ANGELES CA, US (LAX)",US,80921527.00,,
2016-01-01,"TOKYO, JP (HND)",JP,79699762.00,,
2016-01-01,"CHICAGO IL, US (ORD)",US,77960588.00,,
2016-01-01,"LONDON, GB (LHR)",GB,75715474.00,,
2016-01-01,"HONG KONG, HK (HKG)",HK,70305857.00,,
2016-01-01,"SHANGHAI, CN (PVG)",CN,66002414.00,,
2016-01-01,"PARIS, FR (CDG)",FR,65933145.00,,
2016-01-01,"DALLAS/FORT WORTH TX, US (DFW)",US,65670697.00,,
