date,airport,passengers,,
1/1/2017,"ATLANTA GA, US (ATL)",103 902 992,,
1/1/2017,"BEIJING, CN (PEK)",95 786 442,,
1/1/2017,"DUBAI, AE (DXB)",88 242 099,,
1/1/2017,"TOKYO, JP (HND)",85 408 975,,
1/1/2017,"LOS ANGELES CA, US (LAX)",84 557 968,,
1/1/2017,"CHICAGO IL, US (ORD)",79 828 183,,
1/1/2017,"LONDON, GB (LHR)",78 014 598,,
1/1/2017,"HONG KONG, HK (HKG)",72 664 075,,
1/1/2017,"SHANGHAI, CN (PVG)",70 001 237,,
1/1/2017,"PARIS, FR (CDG)",69 471 442,,
1/1/2017,"AMSTERDAM, NL (AMS)",68 515 425,,
1/1/2017,"DALLAS/FORT WORTH TX, US (DFW)",67 092 194,,
1/1/2017,"GUANGZHOU, CN (CAN)",65 887 473,,
1/1/2017,"FRANKFURT, DE (FRA)",64 500 386,,
1/1/2017,"ISTANBUL, TR (IST)",64 119 374,,
1/1/2017,"NEW DELHI, IN (DEL)",63 451 503,,
1/1/2017,"JAKARTA, ID (CGK)",63 015 620,,
1/1/2017,"SINGAPORE, SG (SIN)",62 220 000,,
1/1/2017,"INCHEON, KR (ICN)",62 157 834,,
1/1/2017,"DENVER CO, US (DEN)",61 379 396,,
1/1/2016,"ATLANTA GA, US (ATL)","104,171,935",,
1/1/2016,"BEIJING, CN (PEK)","94,393,454",,
1/1/2016,"DUBAI, AE (DXB)","83,654,250",,
1/1/2016,"LOS ANGELES CA, US (LAX)","80,921,527",,
1/1/2016,"TOKYO, JP (HND)","79,699,762",,
1/1/2016,"CHICAGO IL, US (ORD)","77,960,588",,
1/1/2016,"LONDON, GB (LHR)","75,715,474",,
1/1/2016,"HONG KONG, HK (HKG)","70,305,857",,
1/1/2016,"SHANGHAI, CN (PVG)","66,002,414",,
1/1/2016,"PARIS, FR (CDG)","65,933,145",,
1/1/2016,"DALLAS/FORT WORTH TX, US (DFW)","65,670,697",,
1/1/2016,"AMSTERDAM, NL (AMS)","63,625,534",,
1/1/2016,"FRANKFURT, DE (FRA)","60,786,937",,
1/1/2016,"ISTANBUL, TR (IST)","60,422,847",,
1/1/2016,"GUANGZHOU, CN (CAN)","59,732,147",,
1/1/2016,"NEW YORK NY, US (JFK)","59,105,513",,
1/1/2016,"SINGAPORE, SG (SIN)","58,698,000",,
1/1/2016,"DENVER CO, US (DEN)","58,266,515",,
1/1/2016,"JAKARTA, ID (CGK)","58,195,484",,
1/1/2016,"INCHEON, KR (ICN)","57,849,814",,
1/1/2015,"ATLANTA GA, US (ATL)","101,491,106",,
1/1/2015,"BEIJING, CN (PEK)","89,938,628",,
1/1/2015,"DUBAI, AE (DXB)","78,014,841",,
1/1/2015,"CHICAGO IL, US (ORD)","76,949,504",,
1/1/2015,"TOKYO, JP (HND)","75,573,106",,
1/1/2015,"LONDON, GB (LHR)","74,989,795",,
1/1/2015,"LOS ANGELES CA, US (LAX)","74,937,004",,
1/1/2015,"HONG KONG, HK (HKG)","68,283,407",,
1/1/2015,"PARIS, FR (CDG)","65,766,986",,
1/1/2015,"DALLAS/FORT WORTH TX, US (DFW)","65,512,163",,
1/1/2015,"ISTANBUL, TR (IST)","61,346,229",,
1/1/2015,"FRANKFURT, DE (FRA)","61,032,022",,
1/1/2015,"SHANGHAI, CN (PVG)","60,098,073",,
1/1/2015,"AMSTERDAM, NL (AMS)","58,284,864",,
1/1/2015,"NEW YORK NY, US (JFK)","56,827,154",,
1/1/2015,"SINGAPORE, SG (SIN)","55,449,000",,
1/1/2015,"GUANGZHOU, CN (CAN)","55,201,915",,
1/1/2015,"JAKARTA, ID (CGK)","54,089,062",,
1/1/2015,"DENVER CO, US (DEN)","54,014,502",,
1/1/2015,"BANGKOK, TH (BKK)","52,902,110",,
1/1/2014,"ATLANTA GA, US (ATL)","96,178,899",,
1/1/2014,"BEIJING, CN (PEK)","86,128,270",,
1/1/2014,"LONDON, GB (LHR)","73,408,489",,
1/1/2014,"TOKYO, JP (HND)","72,826,565",,
1/1/2014,"LOS ANGELES CA, US (LAX)","70,663,265",,
1/1/2014,"DUBAI, AE (DXB)","70,475,636",,
1/1/2014,"CHICAGO IL, US (ORD)","69,999,010",,
1/1/2014,"PARIS, FR (CDG) ","63,813,756",,
1/1/2014,"DALLAS/FORT WORTH TX, US (DFW)","63,554,402",,
1/1/2014,"HONG KONG, HK (HKG) ","63,121,786",,
1/1/2014,"FRANKFURT, DE (FRA)","59,566,132",,
1/1/2014,"JAKARTA, ID (CGK)","57,221,169",,
1/1/2014,"ISTANBUL, TR (IST)","56,715,541",,
1/1/2014,"AMSTERDAM, NL (AMS) ","54,978,023",,
1/1/2014,"GUANGZHOU, CN (CAN) ","54,780,346",,
1/1/2014,"SINGAPORE, SG (SIN)","54,093,000",,
1/1/2014,"DENVER CO, US (DEN)","53,472,514",,
1/1/2014,"NEW YORK NY, US (JFK) ","53,254,533",,
1/1/2014,"SHANGHAI, CN (PVG)","51,687,894",,
1/1/2014,"KUALA LUMPUR, MY (KUL)","48,930,409",,
1/1/2013,"ATLANTA GA, US (ATL)","94,431,224",,
1/1/2013,"BEIJING, CN (PEK)","83,712,355",,
1/1/2013,"LONDON, GB (LHR)","72,368,061",,
1/1/2013,"TOKYO, JP (HND)","68,906,509",,
1/1/2013,"CHICAGO IL, US (ORD)","66,777,161",,
1/1/2013,"LOS ANGELES CA, US (LAX)","66,667,619",,
1/1/2013,"DUBAI, AE (DXB)","66,431,533",,
1/1/2013,"PARIS, FR (CDG)","62,052,917",,
1/1/2013,"DALLAS/FORT WORTH TX, US (DFW)","60,470,507",,
1/1/2013,"JAKARTA, ID (CGK)","60,137,347",,
1/1/2013,"HONG KONG, HK (HKG)","59,588,081",,
1/1/2013,"FRANKFURT, DE (FRA)","58,036,948",,
1/1/2013,"SINGAPORE, SG (SIN)","53,726,087",,
1/1/2013,"AMSTERDAM, NL (AMS)","52,569,200",,
1/1/2013,"DENVER CO, US (DEN)","52,556,359",,
1/1/2013,"GUANGZHOU, CN (CAN)","52,450,262",,
1/1/2013,"BANGKOK, TH (BKK)","51,363,451",,
1/1/2013,"ISTANBUL, TR (IST)","51,304,654",,
1/1/2013,"NEW YORK NY, US (JFK)","50,423,765",,
1/1/2013,"KUALA LUMPUR, MY (KUL)","47,498,127",,
1/1/2012,"ATLANTA GA, US (ATL)","95,513,828",,
1/1/2012,"BEIJING, CN (PEK)","81,929,359",,
1/1/2012,"LONDON, GB (LHR)","70,038,804",,
1/1/2012,"TOKYO, JP (HND)","66,795,178",,
1/1/2012,"CHICAGO IL, US (ORD)","66,629,600",,
1/1/2012,"LOS ANGELES CA, US (LAX)","63,688,121",,
1/1/2012,"PARIS, FR (CDG)","61,611,934",,
1/1/2012,"DALLAS/FORT WORTH TX, US (DFW)","58,620,160",,
1/1/2012,"JAKARTA, ID (CGK)","57,772,864",,
1/1/2012,"DUBAI, AE (DXB)","57,684,550",,
1/1/2012,"FRANKFURT, DE (FRA)","57,520,001",,
1/1/2012,"HONG KONG, HK (HKG)","56,061,595",,
1/1/2012,"DENVER CO, US (DEN)","53,156,278",,
1/1/2012,"BANGKOK, TH (BKK)","53,002,328",,
1/1/2012,"SINGAPORE, SG (SIN)","51,181,804",,
1/1/2012,"AMSTERDAM, NL (AMS)","51,035,590",,
1/1/2012,"NEW YORK NY, US (JFK)","49,291,765",,
1/1/2012,"GUANGZHOU, CN (CAN)","48,309,410",,
1/1/2012,"MADRID, ES (MAD)","45,176,978",,
1/1/2012,"ISTANBUL, TR (IST)","45,123,758",,
1/1/2011,"ATLANTA GA, US (ATL)",92 389 023,,
1/1/2011,"BEIJING, CN (PEK)",78 675 058,,
1/1/2011,"LONDON, GB (LHR)",69 433 565,,
1/1/2011,"CHICAGO IL, US (ORD)",66 701 241,,
1/1/2011,"TOKYO, JP (HND)",62 584 826,,
1/1/2011,"LOS ANGELES CA, US (LAX)",61 862 052,,
1/1/2011,"PARIS, FR (CDG)",60 970 551,,
1/1/2011,"DALLAS/FORT WORTH TX, US (DFW)",57 832 495,,
1/1/2011,"FRANKFURT, DE (FRA)",56 436 255,,
1/1/2011,"HONG KONG, HK (HKG)",53 328 613,,
1/1/2011,"DENVER CO, US (DEN)",52 849 132,,
1/1/2011,"JAKARTA, ID (CGK)",51 533 187,,
1/1/2011,"DUBAI, AE (DXB)",50 977 960,,
1/1/2011,"AMSTERDAM, NL (AMS)",49 755 252,,
1/1/2011,"MADRID, ES (MAD)",49 653 055,,
1/1/2011,"BANGKOK, TH (BKK)",47 910 904,,
1/1/2011,"NEW YORK NY, US (JFK)",47 644 060,,
1/1/2011,"SINGAPORE, SG (SIN)",46 543 845,,
1/1/2011,"GUANGZHOU, CN (CAN)",45 040 340,,
1/1/2011,"SHANGHAI, CN (PVG)",41 447 730,,
1/1/2010,"ATLANTA GA, US(ATL)",89 331 622,,
1/1/2010,"BEIJING, CN(PEK)",73 948 113,,
1/1/2010,"CHICAGO IL, US(ORD)",66 774 738,,
1/1/2010,"LONDON, GB(LHR)",65 884 143,,
1/1/2010,"TOKYO, JP(HND)",64 211 074,,
