Year,Total Passengers
1970,310441392
1971,331604904
1972,350114567
1973,401571800
1974,421145200
1975,432276500
1976,471773396
1977,513269292
1978,576090004
1979,648400600
1980,641572888
1981,640619400
1982,654482108
1983,685101596
1984,732410288
1985,783198104
1986,842594296
1987,904838104
1988,953896012
1989,983208800
1990,1025078089
1991,1133567400
1992,1145347659
1993,1142678545
1994,1233123465
1995,1303567456
1996,1391234346
1997,1455768942
1998,1467207211
1999,1562453234
2000,1674654321
2001,1655437165
2002,1627654821
2003,1665342556
2004,1889615234
2005,1970343221
2006,2072113245
2007,2209334689
2008,2208354215
2009,2250453321
2010,2628323554
2011,2787654345
2012,2894223465
2013,3048123786
2014,3227963456
2015,3466223549
2016,3705426543
2017,3974335356
2018,4233159834
